"location_id";"date";"V1";"location_name";"allbed_mean";"allbed_upper";"allbed_lower";"ICUbed_mean";"ICUbed_upper";"ICUbed_lower";"InvVen_mean";"InvVen_upper";"InvVen_lower";"admis_mean";"admis_upper";"admis_lower";"newICU_mean";"newICU_upper";"newICU_lower";"bedover_mean";"bedover_upper";"bedover_lower";"icuover_mean";"icuover_upper";"icuover_lower";"hosp_data_type";"deaths_data_type";"deaths_mean";"deaths_lower";"deaths_upper";"totdea_mean";"totdea_lower";"totdea_upper";"deaths_mean_smoothed";"deaths_lower_smoothed";"deaths_upper_smoothed";"totdea_mean_smoothed";"totdea_lower_smoothed";"totdea_upper_smoothed";"mobility_data_type";"mobility_composite";"total_tests_data_type";"total_tests";"confirmed_infections_data_type";"confirmed_infections";"est_infections_data_type";"est_infections_mean";"est_infections_lower";"est_infections_upper";"total_pop";"deaths_mean_p100k_rate";"deaths_lower_p100k_rate";"deaths_upper_p100k_rate";"totdea_mean_p100k_rate";"totdea_lower_p100k_rate";"totdea_upper_p100k_rate";"deaths_mean_smoothed_p100k_rate";"deaths_lower_smoothed_p100k_rate";"deaths_upper_smoothed_p100k_rate";"totdea_mean_smoothed_p100k_rate";"totdea_lower_smoothed_p100k_rate";"totdea_upper_smoothed_p100k_rate";"confirmed_infections_p100k_rate";"est_infections_mean_p100k_rate";"est_infections_lower_p100k_rate";"est_infections_upper_p100k_rate";"inf_cuml_mean";"inf_cuml_upper";"inf_cuml_lower";"seroprev_mean";"seroprev_upper";"seroprev_lower";"seroprev_data_type"
92;"2020-02-24";177347;"Spain";0;0;0;0;0;0;0;0;0;"157.4631";"223.9836";"113.8576";"18.68271";"42.38813";"8.418008";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";"1.5853664410006";"observed";"561.686958455482";"observed";0;"projected";"7114.78245324237";"5377.73269018112";"8718.15416737392";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;0;"15.4597874702865";"11.6853333195485";"18.9437711478262";"28656.2754882336";"36028.0647258064";"21870.8609143333";;;;
92;"2020-02-25";177348;"Spain";0;0;0;0;0;0;0;0;0;189044;"266.3193";"133.5956";"23.18956";"42.41368";"12.32456";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";"1.7097680140397";"observed";"897.827695194812";"observed";"2.00000000000006";"projected";"8800.75836702785";"6664.69890903337";"10745.8445548844";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;"0.0043458215544571";"19.1232627034986";"14.4817960864215";"23.3497614437303";"37457.0338552615";"46773.9092806908";"28535.5598233666";;;;
92;"2020-02-26";177349;"Spain";0;0;0;0;0;0;0;0;0;"285.8766";"385.9506";"207.7076";"29.17141";"48.16347";"17.17664";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";"1.55692399302983";"observed";"1076.57381764664";"observed";"8.00000000000017";"projected";"10716.9501705867";"8031.95677498681";"12928.515213937";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;"0.0173832862178282";"23.2869765246885";"17.4527254386022";"28.0925100419261";"48173.9840258482";"59702.4244946278";"36567.5165983534";;;;
92;"2020-02-27";177350;"Spain";"31.34494";"48.12951";"18.5042";"0.003373952";"0.004559251";"0.002507";"0.02598118";"0.0351086";"0.0193052";"442.5057";"575.1116";"320.0084";"47.26783";"67.22398";"34.18749";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";"1.43639986400116";"observed";"1313.56057296526";"observed";"5.00000000000003";"projected";"12855.2235785476";"9533.71024700398";"15460.2059597508";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;"0.0108645538861425";"27.9332538575078";"20.7159017426886";"33.5936481481146";"61029.2076043958";"75162.6304543786";"46101.2268453574";;;;
92;"2020-02-28";177351;"Spain";"390.4469";"536.5626";"270.3958";"29.08281";"64.64951";"5.913862";"27.5414";"61.17866";"5.621641";"719.0511";"924.4803";"522.3914";"87.33209";"132.8788";"56.88846";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;"0.000100000000000002";0,0001;0,0001;"0.000100000000000002";0,0001;0,0001;"observed";"1.4171311890066";"observed";"1618.1198480356";"observed";"20.9999999999997";"projected";"15199.4271086125";"11193.9333129452";"18032.6240409999";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";"2.17291077722853e-07";"2.17291077722848e-07";"2.17291077722848e-07";"2.17291077722853e-07";"2.17291077722848e-07";"2.17291077722848e-07";"0.0456311263217975";"33.0269989720029";"24.3234183352756";"39.1832831203981";"76228.6347130083";"93195.2544953785";"57295.1601583026";;;;
92;"2020-02-29";177352;"Spain";"703.4286";"963.4436";"462.1343";"10.32629";"21.64651";"2.657395";"72.40892";"151.7926";"18.8839";1109837;1435186;"784.9649";"132.2514";"194.7927";"87.28385";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;"0.0305218839626732";"0.0305218839626728";"0.0305218839626728";"0.030621883962673";"0.0306218839626728";"0.0306218839626728";"observed";"1.77267032691732";"observed";"2039.36947453553";"observed";"17.0000000000001";"projected";"17725.5272612359";"13258.8609778831";"20939.7039443475";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";"6.63213306038098e-05";"6.6321330603809e-05";"6.6321330603809e-05";"6.65386216815322e-05";"6.65386216815318e-05";"6.65386216815318e-05";"0.0369394832128844";"38.5159892179968";"28.8103219126164";"45.5001083726465";"93954.1619742442";"114134.958439726";"70554.0211361857";;;;
92;"2020-03-01";177353;"Spain";1181531;1628419;"745.8066";"19.10648";"29.12357";"11.51012";"195.4029";"309.4863";"111.3792";1681932;2198098;1151957;"142.3643";"184.1003";"103.5913";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;"0.247188959856146";"0.247188959856145";"0.247188959856145";"0.277810843818822";"0.277810843818818";"0.277810843818818";"observed";"2.2860153607011";"observed";"2620.05735963499";"observed";"15.3333333333331";"projected";"20402.1548565128";"15301.4267323801";"23853.4324046626";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";"0.000537119554883319";"0.000537119554883317";"0.000537119554883317";"0.000603658176564858";"0.000603658176564849";"0.000603658176564849";"0.0333179652508363";"44.3320621664011";"33.2486350537607";"51.8313803459825";"114356.316830757";"137988.390844389";"85855.4478685658";;;;
92;"2020-03-02";177354;"Spain";1932241;2662906;1190515;"71.64222";"101.1607";"43.63969";"331.4809";"468.4661";"198.9227";2491689;3335545;1648196;"243.2726";"319.7859";174601;9999;9999;9999;9999;9999;9999;"observed";"observed";1;1;1;49;49;49;"0.351228493532327";"0.351228493532323";"0.351228493532323";"0.629039337351138";"0.62903933735114";"0.62903933735114";"observed";"2.54383224188356";"observed";"3110.87640442281";"observed";"30.333333333334";"projected";"23191.4109802879";"17409.1204616935";"27126.5573983875";"46021217.7361228";"0.00217291077722848";"0.00217291077722848";"0.00217291077722848";"0.106472628084196";"0.106472628084196";"0.106472628084196";"0.000763188178866118";"0.00076318817886611";"0.00076318817886611";"0.00136684635543095";"0.00136684635543096";"0.00136684635543096";"0.0659116269092655";"50.3928668582026";"37.8284654732827";"58.9435889200633";"137547.727811045";"165114.948242776";"103264.568330259";;;;
92;"2020-03-03";177355;"Spain";3062033;4245109;"1783.01";"141.5821";"197.7715";"87.21607";"581.9552";"812.7711";"354.4013";3600184;4899217;2232797;"407.0739";"563.4259";266847;9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;49;49;49;"0.648012136049943";"0.648012136049948";"0.648012136049948";"1.27705147340111";"1.27705147340109";"1.27705147340109";"observed";"2.73036510438011";"observed";"3634.64096699192";"observed";"42.3333333333331";"projected";"26050.2224084521";"19731.2737070437";"30623.315144418";"46021217.7361228";0;0;0;"0.106472628084196";"0.106472628084196";"0.106472628084196";"0.00140807255419777";"0.00140807255419778";"0.00140807255419778";"0.00277491890962879";"0.00277491890962874";"0.00277491890962874";"0.0919865562360053";"56.6048090205245";"42.8742972864803";"66.5417315117701";"163597.950219497";"195738.263387194";"122995.842037303";;;;
92;"2020-03-04";177356;"Spain";5647149;7468067;3718285;"283.4083";"400.7698";"160.47";"993.3841";"1409.4";"558.9341";"5078.45";6931279;3078943;"660.1601";"923.7774";"407.2625";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;49;49;49;"1.17087470521384";"1.17087470521385";"1.17087470521385";"2.44792617861499";"2.44792617861494";"2.44792617861494";"observed";"2.86413494566245";"observed";"4292.15880908607";"observed";"58.5000000000003";"projected";"28932.2735066806";"21747.5580099777";"34012.6710328946";"46021217.7361228";0;0;0;"0.106472628084196";"0.106472628084196";"0.106472628084196";"0.00254420626574338";"0.0025442062657434";"0.0025442062657434";"0.00531912517537225";"0.00531912517537214";"0.00531912517537214";"0.127115280467867";"62.8672489123884";"47.2555031782822";"73.9064994497038";"192530.223726178";"229750.934420089";"144743.400047281";;;;
