"Año";"Periodo";"Nuevos casos notificados cada día"
"2020";"Día 1 de octubre";"3.227"
"2020";"Día 2 de octubre";"2.536"
"2020";"Día 5 de octubre";"6.616"
"2020";"Día 6 de octubre";"5.187"
"2020";"Día 7 de octubre";"2.853"
"2020";"Día 8 de octubre";"3.152"
"2020";"Día 9 de octubre";"2.995"
"2020";"Día 12 de octubre";"5.134"
"2020";"Día 13 de octubre";"1.126"
"2020";"Día 14 de octubre";"2.723"
"2020";"Día 15 de octubre";"2.870"
"2020";"Día 16 de octubre";"3.175"
"2020";"Día 19 de octubre";"4.598"
"2020";"Día 20 de octubre";"1.742"
"2020";"Día 21 de octubre";"3.397"
"2020";"Día 22 de octubre";"3.632"
"2020";"Día 23 de octubre";"2.595"
"2020";"Día 26 de octubre";"3.884"
"2020";"Día 27 de octubre";"2.185"
"2020";"Día 28 de octubre";"2.670"
"2020";"Día 29 de octubre";"2.452"
"2020";"Día 30 de octubre";"2.390"
"2020";"Día 2 de noviembre";"3.468"
"2020";"Día 3 de noviembre";"487"
"2020";"Día 4 de noviembre";"4.561"
"2020";"Día 5 de noviembre";"2.540"
"2020";"Día 6 de noviembre";"2.260"
"2020";"Día 9 de noviembre";"3.309"
"2020";"Día 10 de noviembre";"1.243"
"2020";"Día 11 de noviembre";"2.205"
"2020";"Día 12 de noviembre";"2.140"
"2020";"Día 13 de noviembre";"1.935"
"2020";"Día 16 de noviembre";"2.732"
"2020";"Día 17 de noviembre";"1.440"
"2020";"Día 18 de noviembre";"1.729"
"2020";"Día 19 de noviembre";"1.615"
"2020";"Día 20 de noviembre";"1.406"
"2020";"Día 23 de noviembre";"2.385"
"2020";"Día 24 de noviembre";"1.141"
"2020";"Día 25 de noviembre";"1.315"
"2020";"Día 26 de noviembre";"1.223"
"2020";"Día 27 de noviembre";"1.381"
"2020";"Día 30 de noviembre";"2.109"
"2020";"Día 1 de diciembre";"1.360"
"2020";"Día 2 de diciembre";"1.297"
"2020";"Día 3 de diciembre";"1.395"
"2020";"Día 4 de diciembre";"1.315"
"2020";"Día 7 de diciembre";"2.333"
